ranks,profile,fold,src_x,src_y,dst_x,dst_y,direction,flit_cycles
16,iq,on,1,3,0,3,H-,2976
16,iq,on,1,3,1,2,V-,6288
16,iq,on,1,3,2,3,H+,3072
16,iq,on,2,0,1,0,H-,3072
16,iq,on,2,0,2,1,V+,6288
16,iq,on,2,0,3,0,H+,2976
16,iq,on,2,1,1,1,H-,3072
16,iq,on,2,1,2,0,V-,6288
16,iq,on,2,1,2,2,V+,6288
16,iq,on,2,1,3,1,H+,2976
16,iq,on,2,2,1,2,H-,3072
16,iq,on,2,2,2,1,V-,6288
16,iq,on,2,2,2,3,V+,6288
16,iq,on,2,2,3,2,H+,2976
16,iq,on,2,3,1,3,H-,3072
16,iq,on,2,3,2,2,V-,6288
16,iq,on,2,3,3,3,H+,2976
16,iq,on,3,0,2,0,H-,2976
16,iq,on,3,0,3,1,V+,6120
16,iq,on,3,1,2,1,H-,2976
16,iq,on,3,1,3,0,V-,6120
16,iq,on,3,1,3,2,V+,6120
16,iq,on,3,2,2,2,H-,2976
16,iq,on,3,2,3,1,V-,6120
16,iq,on,3,2,3,3,V+,6120
16,iq,on,3,3,2,3,H-,2976
16,iq,on,3,3,3,2,V-,6120
16,iq,off,0,0,0,1,V+,6120
16,iq,off,0,0,1,0,H+,2976
16,iq,off,0,1,0,0,V-,6120
16,iq,off,0,1,0,2,V+,6120
16,iq,off,0,1,1,1,H+,2976
16,iq,off,0,2,0,1,V-,6120
16,iq,off,0,2,0,3,V+,6120
16,iq,off,0,2,1,2,H+,2976
16,iq,off,0,3,0,2,V-,6120
16,iq,off,0,3,1,3,H+,2976
16,iq,off,1,0,0,0,H-,2976
16,iq,off,1,0,1,1,V+,6288
16,iq,off,1,0,2,0,H+,2880
16,iq,off,1,1,0,1,H-,2976
16,iq,off,1,1,1,0,V-,6288
16,iq,off,1,1,1,2,V+,6288
16,iq,off,1,1,2,1,H+,2880
16,iq,off,1,2,0,2,H-,2976
16,iq,off,1,2,1,1,V-,6288
16,iq,off,1,2,1,3,V+,6288
16,iq,off,1,2,2,2,H+,2880
16,iq,off,1,3,0,3,H-,2976
16,iq,off,1,3,1,2,V-,6288
16,iq,off,1,3,2,3,H+,2880
16,iq,off,2,0,1,0,H-,2880
16,iq,off,2,0,2,1,V+,6120
16,iq,off,2,0,3,0,H+,2976
16,iq,off,2,1,1,1,H-,2880
16,iq,off,2,1,2,0,V-,6120
16,iq,off,2,1,2,2,V+,6120
16,iq,off,2,1,3,1,H+,2976
16,iq,off,2,2,1,2,H-,2880
16,iq,off,2,2,2,1,V-,6120
16,iq,off,2,2,2,3,V+,6120
16,iq,off,2,2,3,2,H+,2976
16,iq,off,2,3,1,3,H-,2880
16,iq,off,2,3,2,2,V-,6120
16,iq,off,2,3,3,3,H+,2976
16,iq,off,3,0,2,0,H-,2976
16,iq,off,3,0,3,1,V+,6288
16,iq,off,3,1,2,1,H-,2976
16,iq,off,3,1,3,0,V-,6288
16,iq,off,3,1,3,2,V+,6288
16,iq,off,3,2,2,2,H-,2976
16,iq,off,3,2,3,1,V-,6288
16,iq,off,3,2,3,3,V+,6288
16,iq,off,3,3,2,3,H-,2976
16,iq,off,3,3,3,2,V-,6288
64,wse_fast,on,0,0,0,1,V+,10848
64,wse_fast,on,0,0,1,0,H+,2856
64,wse_fast,on,0,1,0,0,V-,10848
64,wse_fast,on,0,1,0,2,V+,11040
64,wse_fast,on,0,1,1,1,H+,2976
64,wse_fast,on,0,2,0,1,V-,11040
64,wse_fast,on,0,2,0,3,V+,10848
64,wse_fast,on,0,2,1,2,H+,2976
64,wse_fast,on,0,3,0,2,V-,10848
64,wse_fast,on,0,3,0,4,V+,10656
64,wse_fast,on,0,3,1,3,H+,2856
64,wse_fast,on,0,4,0,3,V-,10656
64,wse_fast,on,0,4,0,5,V+,10848
64,wse_fast,on,0,4,1,4,H+,2856
64,wse_fast,on,0,5,0,4,V-,10848
64,wse_fast,on,0,5,0,6,V+,11040
64,wse_fast,on,0,5,1,5,H+,2976
64,wse_fast,on,0,6,0,5,V-,11040
64,wse_fast,on,0,6,0,7,V+,10848
64,wse_fast,on,0,6,1,6,H+,2976
64,wse_fast,on,0,7,0,6,V-,10848
64,wse_fast,on,0,7,1,7,H+,2856
64,wse_fast,on,1,0,0,0,H-,2856
64,wse_fast,on,1,0,1,1,V+,10896
64,wse_fast,on,1,0,2,0,H+,2904
64,wse_fast,on,1,1,0,1,H-,2976
64,wse_fast,on,1,1,1,0,V-,10896
64,wse_fast,on,1,1,1,2,V+,11328
64,wse_fast,on,1,1,2,1,H+,3024
64,wse_fast,on,1,2,0,2,H-,2976
64,wse_fast,on,1,2,1,1,V-,11328
64,wse_fast,on,1,2,1,3,V+,10896
64,wse_fast,on,1,2,2,2,H+,3024
64,wse_fast,on,1,3,0,3,H-,2856
64,wse_fast,on,1,3,1,2,V-,10896
64,wse_fast,on,1,3,1,4,V+,10464
64,wse_fast,on,1,3,2,3,H+,2904
64,wse_fast,on,1,4,0,4,H-,2856
64,wse_fast,on,1,4,1,3,V-,10464
64,wse_fast,on,1,4,1,5,V+,10896
64,wse_fast,on,1,4,2,4,H+,2904
64,wse_fast,on,1,5,0,5,H-,2976
64,wse_fast,on,1,5,1,4,V-,10896
64,wse_fast,on,1,5,1,6,V+,11328
64,wse_fast,on,1,5,2,5,H+,3024
64,wse_fast,on,1,6,0,6,H-,2976
64,wse_fast,on,1,6,1,5,V-,11328
64,wse_fast,on,1,6,1,7,V+,10896
64,wse_fast,on,1,6,2,6,H+,3024
64,wse_fast,on,1,7,0,7,H-,2856
64,wse_fast,on,1,7,1,6,V-,10896
64,wse_fast,on,1,7,2,7,H+,2904
64,wse_fast,on,2,0,1,0,H-,2904
64,wse_fast,on,2,0,2,1,V+,11064
64,wse_fast,on,2,0,3,0,H+,2952
64,wse_fast,on,2,1,1,1,H-,3024
64,wse_fast,on,2,1,2,0,V-,11064
64,wse_fast,on,2,1,2,2,V+,11280
64,wse_fast,on,2,1,3,1,H+,3096
64,wse_fast,on,2,2,1,2,H-,3024
64,wse_fast,on,2,2,2,1,V-,11280
64,wse_fast,on,2,2,2,3,V+,11064
64,wse_fast,on,2,2,3,2,H+,3096
64,wse_fast,on,2,3,1,3,H-,2904
64,wse_fast,on,2,3,2,2,V-,11064
64,wse_fast,on,2,3,2,4,V+,10848
64,wse_fast,on,2,3,3,3,H+,2952
64,wse_fast,on,2,4,1,4,H-,2904
64,wse_fast,on,2,4,2,3,V-,10848
64,wse_fast,on,2,4,2,5,V+,11064
64,wse_fast,on,2,4,3,4,H+,2952
64,wse_fast,on,2,5,1,5,H-,3024
64,wse_fast,on,2,5,2,4,V-,11064
64,wse_fast,on,2,5,2,6,V+,11280
64,wse_fast,on,2,5,3,5,H+,3096
64,wse_fast,on,2,6,1,6,H-,3024
64,wse_fast,on,2,6,2,5,V-,11280
64,wse_fast,on,2,6,2,7,V+,11064
64,wse_fast,on,2,6,3,6,H+,3096
64,wse_fast,on,2,7,1,7,H-,2904
